id	has_phys_det	num_phys_boxes	yolo_conf_max	stn_pmax_max	stn_entropy_mean	p_b2_max	p_b3_max	p_b6_max	p_b7_max	p_b8_max	tem_pc1	tem_pc2	tem_pc3	hum_pc1	hum_pc2	hum_pc3	dew_pc1	dew_pc2	dew_pc3	co2_pc1	area	grow
424806_20210907_2_1_a6_3_2_12_1_38	0	0	0	0	0	0	0	0	0	0	44.6694637	14.70070975	2.22115733	-100.2091693	-15.5633481	55.4792795	22.57000078	0.353836124	1.362936563	1144.554166	3	12
424807_20210907_2_1_a6_3_2_12_1_39	0	0	0	0	0	0	0	0	0	0	44.6694637	14.70070975	2.22115733	-100.2091693	-15.5633481	55.4792795	22.57000078	0.353836124	1.362936563	1144.554166	3	12
424808_20210907_2_1_a6_3_2_12_1_40	0	0	0	0	0	0	0	0	0	0	44.6694637	14.70070975	2.22115733	-100.2091693	-15.5633481	55.4792795	22.57000078	0.353836124	1.362936563	1144.554166	3	12
424809_20210907_2_1_a6_3_2_12_1_41	0	0	0	0	0	0	0	0	0	0	44.6694637	14.70070975	2.22115733	-100.2091693	-15.5633481	55.4792795	22.57000078	0.353836124	1.362936563	1144.554166	3	12
424811_20210907_2_1_a6_3_2_12_1_43	0	0	0	0	0	0	0	0	0	0	44.6694637	14.70070975	2.22115733	-100.2091693	-15.5633481	55.4792795	22.57000078	0.353836124	1.362936563	1144.554166	3	12
424813_20210907_2_1_a6_3_2_12_1_45	0	0	0	0	0	0	0	0	0	0	44.6694637	14.70070975	2.22115733	-100.2091693	-15.5633481	55.4792795	22.57000078	0.353836124	1.362936563	1144.554166	3	12
424819_20210907_2_1_a6_3_2_12_1_51	0	0	0	0	0	0	0	0	0	0	44.13906048	14.45553656	3.12661616	-99.54994915	-15.62976493	52.61402799	22.54915375	0.550983899	1.432074041	1144.760666	3	12
424827_20210907_2_1_a6_3_2_12_1_59	0	0	0	0	0	0	0	0	0	0	44.13906048	14.45553656	3.12661616	-99.54994915	-15.62976493	52.61402799	22.54915375	0.550983899	1.432074041	1144.760666	3	12
424829_20210907_2_1_a6_3_2_12_1_61	0	0	0	0	0	0	0	0	0	0	44.13906048	14.45553656	3.12661616	-99.54994915	-15.62976493	52.61402799	22.54915375	0.550983899	1.432074041	1144.760666	3	12
424830_20210907_2_1_a6_3_2_12_1_62	0	0	0	0	0	0	0	0	0	0	44.13906048	14.45553656	3.12661616	-99.54994915	-15.62976493	52.61402799	22.54915375	0.550983899	1.432074041	1144.760666	3	12
424832_20210907_2_1_a6_3_2_12_1_64	0	0	0	0	0	0	0	0	0	0	44.13906048	14.45553656	3.12661616	-99.54994915	-15.62976493	52.61402799	22.54915375	0.550983899	1.432074041	1144.760666	3	12
424835_20210907_2_1_a6_3_2_12_1_67	0	0	0	0	0	0	0	0	0	0	44.13906048	14.45553656	3.12661616	-99.54994915	-15.62976493	52.61402799	22.54915375	0.550983899	1.432074041	1144.760666	3	12
424842_20210907_2_1_a6_3_2_12_1_74	0	0	0	0	0	0	0	0	0	0	43.60622495	14.1532477	4.009236083	-98.76423776	-15.77779541	49.80174673	22.52814708	0.754573134	1.494090534	1144.908343	3	12
